algo,tune_args,tunes,fc,rm,trees,nodesize,combo,best,auc_po,ODP,CBI_rescale,IMAE,auc_po_flexsdm,CBI,n_p_test,n_p_train,n_a_train,mtry,max_kappa,max_spec_sens,no_omission,equal_prevalence,equal_sens_spec
maxnet,fc: lqp. rm: 4.5,5,lqp,4.5,,,0.337551292220863,FALSE,0.702167133066687,0.969540483126271,0.941560255413905,0.510565140723279,0.702167133066687,0.883120510827811,18.8,75.2,2417.6,,0.863791694,0.527586714,0.27054121,0.07396575,0.618875672
maxnet,fc: lqhp. rm: 2.5,5,lqhp,2.5,,,0.334448195244042,FALSE,0.687458765420884,0.969540483126271,0.905404922865293,0.537327850701387,0.687458765420884,0.810809845730585,18.8,75.2,2417.6,,0.753347298,0.48835389,0.206732664,0.050413314,0.589448116
maxnet,fc: lqp. rm: 5,5,lqp,5,,,0.334127313967404,FALSE,0.701792914632791,0.969540483126271,0.941464043452688,0.505707345850096,0.701792914632791,0.882928086905376,18.8,75.2,2417.6,,0.818276574,0.533020814,0.278199606,0.078022396,0.622665236
maxnet,fc: qhp. rm: 2.5,5,qhp,2.5,,,0.333128729596371,FALSE,0.686797898822615,0.969540483126271,0.902990016114015,0.537155692126145,0.686797898822615,0.80598003222803,18.8,75.2,2417.6,,0.75585031,0.498049214,0.20664571,0.04822386,0.59044362
maxnet,fc: lqp. rm: 5.5,5,lqp,5.5,,,0.332168355338101,FALSE,0.701436360216284,0.969540483126271,0.945503765160222,0.500848893902148,0.701436360216284,0.891007530320444,18.8,75.2,2417.6,,0.777472722,0.5384831,0.28571046,0.082198154,0.627427944
maxnet,fc: lqhp. rm: 3.5,5,lqhp,3.5,,,0.331008804111129,FALSE,0.689896555386289,0.969540483126271,0.913587363420961,0.525176742183071,0.689896555386289,0.827174726841923,18.8,75.2,2417.6,,0.818269158,0.517912446,0.230178806,0.06148413,0.60269969
maxnet,fc: qhp. rm: 3.5,5,qhp,3.5,,,0.330492492959777,FALSE,0.689312992758341,0.969540483126271,0.912863098600632,0.525217856511955,0.689312992758341,0.825726197201265,18.8,75.2,2417.6,,0.786019354,0.518578972,0.230055208,0.059832946,0.604909294
maxnet,fc: lqhp. rm: 3,5,lqhp,3,,,0.32983084813179,FALSE,0.68858588864436,0.969540483126271,0.902585738084796,0.53069462166927,0.68858588864436,0.805171476169591,18.8,75.2,2417.6,,0.751461428,0.502983598,0.21671602,0.054752422,0.59553854
maxnet,fc: qhp. rm: 4.5,5,qhp,4.5,,,0.329715579126506,FALSE,0.689698539606347,0.969540483126271,0.929595992349269,0.514263757857445,0.689698539606347,0.859191984698538,18.8,75.2,2417.6,,0.864925986,0.530413418,0.25392542,0.068983636,0.616163154
maxnet,fc: lqhp. rm: 4.5,5,lqhp,4.5,,,0.329524597364444,FALSE,0.689682565165452,0.969540483126271,0.929253919530102,0.514166987617228,0.689682565165452,0.858507839060205,18.8,75.2,2417.6,,0.864426454,0.529972092,0.254387784,0.06994915,0.615627244
maxnet,fc: qhp. rm: 3,5,qhp,3,,,0.328998099127432,FALSE,0.687550956958617,0.969540483126271,0.901736627023384,0.530650756242296,0.687550956958617,0.803473254046768,18.8,75.2,2417.6,,0.752296042,0.505092648,0.216604352,0.05291042,0.595484238
maxnet,fc: lqp. rm: 6,5,lqp,6,,,0.328283320271657,FALSE,0.700357096229454,0.969540483126271,0.944640201206668,0.496206969472667,0.700357096229454,0.889280402413337,18.8,75.2,2417.6,,0.774847244,0.547106976,0.29281357,0.086046638,0.632402502
maxnet,fc: qhp. rm: 5,5,qhp,5,,,0.328182203594796,FALSE,0.690389135987266,0.969540483126271,0.934058723747921,0.508916928239607,0.690389135987266,0.868117447495842,18.8,75.2,2417.6,,0.866409194,0.536417436,0.265035562,0.073676266,0.620445856
maxnet,fc: lqhp. rm: 5,5,lqhp,5,,,0.328167062335476,FALSE,0.690373161546371,0.969540483126271,0.934120625360038,0.508871499923525,0.690373161546371,0.868241250720077,18.8,75.2,2417.6,,0.819501882,0.536040724,0.265332582,0.074373288,0.620034998
maxnet,fc: h. rm: 2,5,h,2,,,0.328094333195519,FALSE,0.687647553311941,0.969540483126271,0.902727852697359,0.528537717578158,0.687647553311941,0.805455705394718,18.8,75.2,2417.6,,0.747568984,0.505392546,0.23720098,0.070525092,0.584012026
maxnet,fc: lqhp. rm: 4,5,lqhp,4,,,0.328005939683285,FALSE,0.688939301593988,0.969540483126271,0.916277645636677,0.519605400796704,0.688939301593988,0.832555291273354,18.8,75.2,2417.6,,0.82893317,0.523540482,0.242658366,0.065918896,0.609477362
maxnet,fc: qhp. rm: 4,5,qhp,4,,,0.327983584866149,FALSE,0.689019173798461,0.969540483126271,0.915932337860703,0.519705614291792,0.689019173798461,0.831864675721406,18.8,75.2,2417.6,,0.790717722,0.524298026,0.242023018,0.064532702,0.610615246
maxnet,fc: lqhp. rm: 5.5,5,lqhp,5.5,,,0.327204306327207,FALSE,0.691312903426161,0.969540483126271,0.939847953283164,0.503601190008478,0.691312903426161,0.879695906566328,18.8,75.2,2417.6,,0.777942114,0.542202962,0.274784026,0.078895868,0.624745972
maxnet,fc: qhp. rm: 5.5,5,qhp,5.5,,,0.326960524960175,FALSE,0.691249005662583,0.969540483126271,0.939105240553002,0.503670527098372,0.691249005662583,0.878210481106004,18.8,75.2,2417.6,,0.777914026,0.542464822,0.274478416,0.078221842,0.625175566
maxnet,fc: lqhp. rm: 6,5,lqhp,6,,,0.32357708365236,FALSE,0.691992898698589,0.969540483126271,0.937880768543052,0.498572692718569,0.691992898698589,0.875761537086105,18.8,75.2,2417.6,,0.77714478,0.54604564,0.28374871,0.08310132,0.629832128
maxnet,fc: qhp. rm: 6,5,qhp,6,,,0.323541465346263,FALSE,0.692008873139484,0.969540483126271,0.937679317030808,0.498613402959272,0.692008873139484,0.875358634061616,18.8,75.2,2417.6,,0.777326062,0.546282432,0.283515318,0.082540578,0.630106262
maxnet,fc: h. rm: 2.5,5,h,2.5,,,0.320270786444354,FALSE,0.687278403611515,0.969540483126271,0.907279550748836,0.513621868670456,0.687278403611515,0.814559101497672,18.8,75.2,2417.6,,0.82240616,0.527084482,0.25620645,0.080156442,0.606598264
maxnet,fc: h. rm: 3,5,h,3,,,0.315411026838686,FALSE,0.689120779428771,0.969540483126271,0.910736087917954,0.50256122866994,0.689120779428771,0.821472175835907,18.8,75.2,2417.6,,0.8187828,0.542112674,0.275717092,0.089919126,0.619066076
maxnet,fc: h. rm: 3.5,5,h,3.5,,,0.309520930915801,FALSE,0.687648030321578,0.969540483126271,0.914023544987668,0.492454869689737,0.687648030321578,0.828047089975336,18.8,75.2,2417.6,,0.808717062,0.55817946,0.289342308,0.100945588,0.6283648
maxnet,fc: h. rm: 4,5,h,4,,,0.301315083792942,FALSE,0.684221407896235,0.969540483126271,0.91253304508347,0.48258699528239,0.684221407896235,0.82506609016694,18.8,75.2,2417.6,,0.82563243,0.571292636,0.300888528,0.1120557,0.637126108
maxnet,fc: h. rm: 4.5,5,h,4.5,,,0.291490044189802,FALSE,0.674657671297761,0.969540483126271,0.913557026738578,0.472938425013462,0.674657671297761,0.827114053477155,18.8,75.2,2417.6,,0.836565558,0.584671092,0.311314946,0.124336616,0.645313218
maxnet,fc: h. rm: 5,5,h,5,,,0.281862155951801,FALSE,0.667374998093805,0.969540483126271,0.910728466393653,0.463743596137646,0.667374998093805,0.821456932787305,18.8,75.2,2417.6,,0.81084473,0.59231035,0.325168744,0.137300224,0.654321432
maxnet,fc: h. rm: 5.5,5,h,5.5,,,0.275631366915639,FALSE,0.662373071749548,0.969540483126271,0.913774053485385,0.455393836592347,0.662373071749548,0.82754810697077,18.8,75.2,2417.6,,0.789357842,0.607370064,0.34105381,0.150554762,0.662292204
maxnet,fc: h. rm: 6,5,h,6,,,0.268399761086901,FALSE,0.658217447335091,0.969540483126271,0.910014806617176,0.448088993426633,0.658217447335091,0.820029613234353,18.8,75.2,2417.6,,0.75456469,0.613886778,0.35628537,0.16381111,0.666575816
env,none,5,,,,,0.252260996364665,FALSE,0.373308332924651,0.969540483126271,0.890523455313414,0.75881701357872,0.373308332924651,0.781046910626828,18.8,75.2,2417.6,,0.141868254,0.134867458,0.015058406,0.030635016,0.123560892
