algo,tune_args,fc,rm,trees,nodesize,n_p_test,n_p_train,n_a_train,mtry,np,na,prevalence,auc,cor,pcor,ODP,auc_po,auc_po_flexsdm,CBI,CBI_rescale,IMAE,tunes
maxnet,fc: h. rm: 1,h,1,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.708562469866177,0.133612591941733,0.0104137673875488,0.969663140372803,0.708562469866177,0.708562469866177,0.79187384193352,0.89593692096676,0.612478016995509,5
maxnet,fc: h. rm: 1.5,h,1.5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.731299447572448,0.140467132552609,0.00607017908955604,0.969663140372803,0.731299447572448,0.731299447572448,0.851216890019664,0.925608445009832,0.585008438744157,5
maxnet,fc: h. rm: 2,h,2,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.748969220692277,0.14205839554995,0.00410212798858153,0.969663140372803,0.748969220692277,0.748969220692277,0.869820553064974,0.934910276532487,0.564655882747664,5
maxnet,fc: h. rm: 2.5,h,2.5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.749906002481949,0.140026345786457,0.00490399472425678,0.969663140372803,0.749906002481949,0.749906002481949,0.894175213025339,0.94708760651267,0.545404717168596,5
maxnet,fc: h. rm: 3,h,3,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.743670976103863,0.135298693289191,0.00974844249388189,0.969663140372803,0.743670976103863,0.743670976103863,0.884628311378138,0.942314155689069,0.530866675589324,5
maxnet,fc: h. rm: 3.5,h,3.5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.733164483169335,0.130361589594351,0.0185168799770163,0.969663140372803,0.733164483169335,0.733164483169335,0.841982807873069,0.920991403936534,0.51917220581925,5
maxnet,fc: h. rm: 4,h,4,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.724876960992498,0.12643531122168,0.0365174980793758,0.969663140372803,0.724876960992498,0.724876960992498,0.829529779552139,0.914764889776069,0.508177848138022,5
maxnet,fc: h. rm: 4.5,h,4.5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.723215400864668,0.125269410726137,0.0373611659142243,0.969663140372803,0.723215400864668,0.723215400864668,0.837995893684488,0.918997946842244,0.498057555149435,5
maxnet,fc: h. rm: 5,h,5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.722100107300179,0.123587163742678,0.0401478226997691,0.969663140372803,0.722100107300179,0.722100107300179,0.846367338360137,0.923183669180069,0.488491823172243,5
maxnet,fc: h. rm: 5.5,h,5.5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.72011815843489,0.121083300036407,0.0468689412644542,0.969663140372803,0.72011815843489,0.72011815843489,0.858006703829916,0.929003351914958,0.479445132089591,5
maxnet,fc: h. rm: 6,h,6,,,18,74,2361.5,,18,590.5,0.0297243532225209,0.711029018454933,0.110144575027317,0.0646863085634404,0.970275646777479,0.711029018454933,0.711029018454933,0.842232895116413,0.921116447558207,0.456020686031027,4
maxnet,fc: l. rm: 1,l,1,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.733266185319032,0.148049504116864,0.00191768883787572,0.969663140372803,0.733266185319032,0.733266185319032,0.847533454408112,0.923766727204056,0.597508885657183,5
maxnet,fc: l. rm: 1.5,l,1.5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.732660893880609,0.144951613198851,0.00228527372350569,0.969663140372803,0.732660893880609,0.732660893880609,0.836222168385534,0.918111084192767,0.589895574195294,5
maxnet,fc: l. rm: 2,l,2,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.731975238650141,0.141986447775714,0.00284557448258843,0.969663140372803,0.731975238650141,0.731975238650141,0.839124850271961,0.91956242513598,0.583343479043658,5
maxnet,fc: l. rm: 2.5,l,2.5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.732201220724767,0.138875327995405,0.00363937866270127,0.969663140372803,0.732201220724767,0.732201220724767,0.83544713161592,0.91772356580796,0.577916163021473,5
maxnet,fc: l. rm: 3,l,3,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.731243118589617,0.135596189628933,0.00461503143537147,0.969663140372803,0.731243118589617,0.731243118589617,0.814287430331034,0.907143715165517,0.573552612603265,5
maxnet,fc: l. rm: 3.5,l,3.5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.729398043636538,0.13342196621671,0.00581315594699231,0.969663140372803,0.729398043636538,0.729398043636538,0.800115866714863,0.900057933357432,0.56922668269566,5
maxnet,fc: l. rm: 4,l,4,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.729241862111191,0.132665244938226,0.00620474959743855,0.969663140372803,0.729241862111191,0.729241862111191,0.817479945455854,0.908739972727927,0.565982566189015,5
maxnet,fc: l. rm: 4.5,l,4.5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.729161377093489,0.132202927285281,0.00665587588534834,0.969663140372803,0.729161377093489,0.729161377093489,0.815735884062347,0.907867942031173,0.562768761826789,5
maxnet,fc: l. rm: 5,l,5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.728465873402111,0.131377812886876,0.00730134827055786,0.969663140372803,0.728465873402111,0.728465873402111,0.815654134813375,0.907827067406688,0.559893981977023,5
maxnet,fc: l. rm: 5.5,l,5.5,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.728547424717798,0.131079993104197,0.0076815580250092,0.969663140372803,0.728547424717798,0.728547424717798,0.806167651127331,0.903083825563665,0.557537301190411,5
maxnet,fc: l. rm: 6,l,6,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.728219127270797,0.130649118041189,0.00816219398800457,0.969663140372803,0.728219127270797,0.728219127270797,0.804291329131487,0.902145664565744,0.554845555234589,5
maxnet,fc: lq. rm: 1,lq,1,,,18.4,73.6,2361.6,,18.4,590.4,0.0303368596271971,0.737718291226236,0.152682488248055,0.0012583026434911,0.969663140372803,0.737718291226236,0.737718291226236,0.854653177743499,0.927326588871749,0.612641256584894,5
