cell_lat,cell_long
-34.5473339761029,139.000123528236
-34.5481459077533,139.000159879107
-34.5489578387746,139.000196230638
-34.5497396874226,139.001213886139
-34.5749092087459,139.002341407754
-34.5772847339431,139.004413766574
-34.5772245017904,139.006376974043
-34.7183955190398,138.908363493935
-35.3742243521803,138.592213828901
-35.402868944956,138.523938864279
-35.4104124749766,138.484557546828
-35.4195668100848,138.445232752151
-35.4316775514414,138.539971867303
-35.4386398068087,138.582923229788
-35.4467050367488,138.524694387507
-35.446625568913,138.527668605773
-35.4465725531267,138.529651414978
-35.4465460340648,138.530642818689
-35.4465195075572,138.531634221805
-35.4472776972595,138.533649465841
-35.4489002249292,138.533714346807
-35.4497114875436,138.533746788183
-35.4495520775685,138.539695405354
-35.4514136160995,138.530837301561
-35.4522248769231,138.530869717455
-35.4547911862033,138.526009489749
-35.4572824223236,138.462584245286
-35.4597700183701,138.491467001423
-35.4658103638274,138.447035953321
-35.4665439135359,138.450042562829
-35.8682508632371,136.704131736144
-35.8875169107934,136.841099923602
-35.9036070018146,136.908252067638
-35.9080392552915,136.763742110057
-35.9069514820355,136.901343710982
-35.9093132682478,136.906381357801
-35.9150647927965,136.722991787525
-35.9525806755997,136.707763377757
-35.962668842025,136.862633525849
-35.979917252886,136.904919978377
-35.9799029472407,136.905917779324
-35.9798886341045,136.906915579946
-35.9807139537361,136.905935384664
-34.5764427136626,139.005358960356
-34.5847724115267,138.99885128944
-34.5855542441923,138.99986934109
-34.5864262809508,138.997942292505
-34.5863661465905,138.999905705201
-34.7055237211772,138.903862024443
-35.3692754139019,138.594987696455
-35.3718443414696,138.590133885681
-35.3758739787768,138.591289137429
-35.3877875547354,138.541190386737
-35.3884657621807,138.546176620959
-35.3910860285662,138.53933878311
-35.3944755119333,138.564271577186
-35.4021105660645,138.521924715309
-35.4029483330089,138.520966114047
-35.403759644124,138.520998421636
-35.4147826413803,138.472824702089
-35.4163269593538,138.475861688676
-35.4192556872128,138.457126225405
-35.4184469917018,138.487850642602
-35.4233894768326,138.515827102898
-35.426367363594,138.433591290331
-35.4245435024012,138.502974275787
-35.4380346855096,138.545188349236
-35.4467315111357,138.52370298023
-35.4474103308833,138.52869240482
-35.4482745979727,138.526741952814
-35.4480889615012,138.533681906027
-35.4515433689325,138.433577020127
-35.4488736754324,138.534705775403
-35.4498971270535,138.526806707727
-35.4496052440109,138.537712535348
-35.4495786645127,138.538703970649
-35.4505492918293,138.532787782786
-35.4511480029207,138.540751851247
-35.4519060491459,138.542767278996
-35.4531951500265,138.524953266488
-35.453142175447,138.526936224685
-35.453979926739,138.525977117519
-35.4546172939935,138.562727190041
-35.4551605346964,138.572674803315
-35.4589569733321,138.460664703429
-35.4584860004033,138.569831438092
-35.4614187666688,138.490539535306
-35.4665957323896,138.448059258372
-35.4673810922633,138.44908258161
-35.4673551789006,138.450074242641
-35.4786504877671,138.544832697511
-35.6413432933954,138.249010627621
-35.7557724048037,136.918985813332
-35.8284543832944,136.828903559506
-35.8374901255206,136.698553448876
-35.846890653573,137.012662161586
-35.9018122548374,136.804502565886
-35.9032754682244,136.931181468315
-35.9072810623292,136.759737837276
-35.9052435092277,136.907290338386
-35.9166999303127,136.722026484385
-35.9196191764813,136.684182670352
-35.9800029294495,136.898933165874
